"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","105","DELETE /todos/{id} (200)","chromium","Sat Apr 19 17:06:33 GMT 2025","passed","Sat Apr 19 17:06:33 GMT 2025","has description","mainApiTests.spec.js","",""
"","30","GET /todos (200) ANY","chromium","Sat Apr 19 17:06:33 GMT 2025","passed","Sat Apr 19 17:06:33 GMT 2025","has description","mainApiTests.spec.js","",""
"","34","POST /todos XML","chromium","Sat Apr 19 17:06:33 GMT 2025","passed","Sat Apr 19 17:06:33 GMT 2025","has description","mainApiTests.spec.js","",""
"","33","POST /todos (415)","chromium","Sat Apr 19 17:06:33 GMT 2025","passed","Sat Apr 19 17:06:33 GMT 2025","has description","mainApiTests.spec.js","",""
"","30","GET /challenger/guid (existing X-CHALLENGER)","chromium","Sat Apr 19 17:06:33 GMT 2025","passed","Sat Apr 19 17:06:33 GMT 2025","has description","mainApiTests.spec.js","",""
"","45","GET /todos (200)","chromium","Sat Apr 19 17:06:31 GMT 2025","passed","Sat Apr 19 17:06:31 GMT 2025","has description","mainApiTests.spec.js","",""
"","45","POST /todos (413) content too long","chromium","Sat Apr 19 17:06:32 GMT 2025","passed","Sat Apr 19 17:06:32 GMT 2025","has description","mainApiTests.spec.js","",""
"","125","GET /todos/{id} (200)","chromium","Sat Apr 19 17:06:32 GMT 2025","passed","Sat Apr 19 17:06:32 GMT 2025","has description","mainApiTests.spec.js","",""
"","1861","pagination 10 click","chromium","Sat Apr 19 17:06:39 GMT 2025","passed","Sat Apr 19 17:06:41 GMT 2025","Main page","mainPage.spec.js","",""
"","30","PATCH /heartbeat (500)","chromium","Sat Apr 19 17:06:33 GMT 2025","passed","Sat Apr 19 17:06:33 GMT 2025","has description","mainApiTests.spec.js","",""
"","62","PUT /todos/{id} full (200)","chromium","Sat Apr 19 17:06:32 GMT 2025","passed","Sat Apr 19 17:06:32 GMT 2025","has description","mainApiTests.spec.js","",""
"","66","PUT /todos/{id} no title (400)","chromium","Sat Apr 19 17:06:32 GMT 2025","passed","Sat Apr 19 17:06:32 GMT 2025","has description","mainApiTests.spec.js","",""
"","58","PUT /todos/{id} no amend id (400)","chromium","Sat Apr 19 17:06:32 GMT 2025","passed","Sat Apr 19 17:06:33 GMT 2025","has description","mainApiTests.spec.js","",""
"","44","OPTIONS /todos (200)","chromium","Sat Apr 19 17:06:33 GMT 2025","passed","Sat Apr 19 17:06:33 GMT 2025","has description","mainApiTests.spec.js","",""
"","29","POST /todos (400) doneStatus","chromium","Sat Apr 19 17:06:32 GMT 2025","passed","Sat Apr 19 17:06:32 GMT 2025","has description","mainApiTests.spec.js","",""
"","61","POST /todos (400) description too long","chromium","Sat Apr 19 17:06:32 GMT 2025","passed","Sat Apr 19 17:06:32 GMT 2025","has description","mainApiTests.spec.js","",""
"","31","DELETE /heartbeat (405)","chromium","Sat Apr 19 17:06:33 GMT 2025","passed","Sat Apr 19 17:06:33 GMT 2025","has description","mainApiTests.spec.js","",""
"","30","POST /todos (400) title too long","chromium","Sat Apr 19 17:06:32 GMT 2025","passed","Sat Apr 19 17:06:32 GMT 2025","has description","mainApiTests.spec.js","",""
"","12803","Product comment","chromium","Sat Apr 19 17:06:50 GMT 2025","passed","Sat Apr 19 17:07:02 GMT 2025","Product page","productPage.spec.js","",""
"","36","PUT /todos/{id} (400)","chromium","Sat Apr 19 17:06:32 GMT 2025","passed","Sat Apr 19 17:06:32 GMT 2025","has description","mainApiTests.spec.js","",""
"","54","GET /challenges","chromium","Sat Apr 19 17:06:31 GMT 2025","passed","Sat Apr 19 17:06:31 GMT 2025","has description","mainApiTests.spec.js","",""
"","30","POST /todos JSON to XML","chromium","Sat Apr 19 17:06:33 GMT 2025","passed","Sat Apr 19 17:06:33 GMT 2025","has description","mainApiTests.spec.js","",""
"","40","GET /challenger/database/guid (200)","chromium","Sat Apr 19 17:06:33 GMT 2025","passed","Sat Apr 19 17:06:33 GMT 2025","has description","mainApiTests.spec.js","",""
"","2225","pagination 50 click","chromium","Sat Apr 19 17:06:33 GMT 2025","passed","Sat Apr 19 17:06:36 GMT 2025","Main page","mainPage.spec.js","",""
"","32","POST /todos (201) max out content","chromium","Sat Apr 19 17:06:32 GMT 2025","passed","Sat Apr 19 17:06:32 GMT 2025","has description","mainApiTests.spec.js","",""
"","34","GET /todos (200) JSON","chromium","Sat Apr 19 17:06:33 GMT 2025","passed","Sat Apr 19 17:06:33 GMT 2025","has description","mainApiTests.spec.js","",""
"","29","GET /todos (200) no accept","chromium","Sat Apr 19 17:06:33 GMT 2025","passed","Sat Apr 19 17:06:33 GMT 2025","has description","mainApiTests.spec.js","",""
